upload_date;country_name;country_code;year;supra_reg;fishing_tech;vessel_length;geo_indicator;gear;fishery;activity;cluster_name;fs_name;variable_group;variable_name;variable_code;value;unit;fromtable;framework;template_name
27-03-2023;Denmark;DNK;2021;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Employment;Unpaid labour;unpaidemp;23.527;number;map_fs;map;map_fs
22-03-2022;Denmark;DNK;2020;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Employment;FTE national;totnatfte;296.108;number;map_fs;map;map_fs
26-02-2021;Denmark;DNK;2019;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Employment;FTE national;totnatfte;302.535;number;map_fs;map;map_fs
27-03-2023;Denmark;DNK;2021;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Employment;FTE national;totnatfte;326.398;number;map_fs;map;map_fs
22-03-2022;Denmark;DNK;2020;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Effort;kW days at sea;kwseadays;315.263.249;kWday;map_fs;map;map_fs
26-02-2021;Denmark;DNK;2019;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Effort;kW days at sea;kwseadays;350.183.318;kWday;map_fs;map;map_fs
27-03-2023;Denmark;DNK;2021;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Effort;kW days at sea;kwseadays;3.421.038.505;kWday;map_fs;map;map_fs
22-03-2022;Denmark;DNK;2020;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Effort;GT days at sea;gtseadays;104167;GTday;map_fs;map;map_fs
26-02-2021;Denmark;DNK;2019;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Effort;GT days at sea;gtseadays;108660;GTday;map_fs;map;map_fs
27-03-2023;Denmark;DNK;2021;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Effort;GT days at sea;gtseadays;108669;GTday;map_fs;map;map_fs
